"Crop types in Poland, noted on March 24, 2023.","{'LOCATION': 'Lima, Peru', 'DATE': '2024-03-01'}"
"Flooding in Malaysia on July 8, 2023.","{'LOCATION': 'South Dakota', 'DATE': '2024-06-04'}"
"Satellite images of burn scars from Siberia on August 17, 2023.","{'LOCATION': 'Turkey', 'DATE': '2024-05-28'}"
"Crop types in Turkey as of October 6, 2023.","{'LOCATION': 'Seoul, South Korea', 'DATE': '2024-06-01'}"
"November 27, 2023: Flooding in London.","{'LOCATION': 'Andes Mountains', 'DATE': '2024-03-01'}"
"January 16, 2023, show burn scars in Tasmania.","{'LOCATION': 'Israel', 'DATE': '2024-05-31'}"
"Crop types in Greece observed on February 25, 2023.","{'LOCATION': 'Sao Paulo, Brazil', 'DATE': '2024-05-21'}"
"On March 10, 2023, find flooding events in New Orleans.","{'LOCATION': 'Montana', 'DATE': '2024-05-01'}"
"April 20, 2023: Burn scars in Portugal.","{'LOCATION': 'Bulgaria', 'DATE': '2024-06-04'}"
"Crop types in South Africa from May 22, 2023.","{'LOCATION': 'New York City', 'DATE': '2024-06-02'}"
"Flooding in the Philippines on June 28, 2023.","{'LOCATION': 'Fiji', 'DATE': '2024-01-01'}"
"July 12, 2023, display burn scars in South Dakota.","{'LOCATION': 'Cuba', 'DATE': '2024-04-01'}"
"Crop types in Argentina as of September 15, 2023.","{'LOCATION': 'Paris, France', 'DATE': '2024-06-01'}"
"October 31, 2023: Flooding in Berlin.","{'LOCATION': 'Tasmania', 'DATE': '2024-06-01'}"
"Satellite imagery of burn scars in New Zealand from December 9, 2023.","{'LOCATION': 'Egypt', 'DATE': '2024-05-30'}"
"January 4, 2023: Crop types in Japan.","{'LOCATION': 'Beijing, China', 'DATE': '2024-06-01'}"
"March 6, 2023, show flooding in Alabama.","{'LOCATION': 'Nova Scotia', 'DATE': '2024-05-01'}"
"April 29, 2023: Burn scars in the Sahel region.","{'LOCATION': 'Argentina', 'DATE': '2024-06-01'}"
"Crop types in Belgium noted on May 24, 2023.","{'LOCATION': 'Dubai', 'DATE': '2024-06-04'}"
"Flooding in South Korea on June 15, 2023.","{'LOCATION': 'Pyrenees', 'DATE': '2024-06-01'}"
"Burn scars in Alaska from July 21, 2023.","{'LOCATION': 'South Korea', 'DATE': '2024-06-03'}"
"Crop types in Romania as of August 30, 2023.","{'LOCATION': 'Lagos, Nigeria', 'DATE': '2024-06-01'}"
"September 20, 2023: Flooding in Lima, Peru.","{'LOCATION': 'Everglades', 'DATE': '2024-03-01'}"
"November 5, 2023, display burn scars in the Pyrenees.","{'LOCATION': 'Sweden', 'DATE': '2024-05-31'}"
"On January 15, 2023, display the flooding events in Jakarta.","{'LOCATION': 'Venice, Italy', 'DATE': '2024-06-01'}"
"Show images of burn scars in the Colorado Rockies from March 12, 2023.","{'LOCATION': 'Sierra Nevada', 'DATE': '2024-06-01'}"
"Crop types in Sudan as observed on May 20, 2023.","{'LOCATION': 'Greece', 'DATE': '2024-05-27'}"
"February 8, 2023: Provide satellite imagery of flooding in Miami.","{'LOCATION': 'Kyoto, Japan', 'DATE': '2024-01-01'}"
"Burn scars in Oregon, noted on April 17, 2023.","{'LOCATION': 'Rocky Mountains', 'DATE': '2024-05-28'}"
"July 25, 2023: Identify crop types in Northern India.","{'LOCATION': 'Morocco', 'DATE': '2024-06-04'}"
"Flooding in central China on June 30, 2023.","{'LOCATION': 'Bangkok, Thailand', 'DATE': '2024-05-28'}"
"Satellite images of burn scars in Montana from August 14, 2023.","{'LOCATION': 'Amazon', 'DATE': '2024-03-01'}"
input,output
"On January 15, 2023, display the flooding events in Jakarta.","{'LOCATION': 'Jakarta', 'DATE': '2023-01-15'}"
"Show images of burn scars in the Colorado Rockies from March 12, 2023.","{'LOCATION': 'Colorado Rockies', 'DATE': '2023-03-12'}"
"Crop types in Sudan as observed on May 20, 2023.","{'LOCATION': 'Sudan', 'DATE': '2023-05-20'}"
"February 8, 2023: Provide satellite imagery of flooding in Miami.","{'LOCATION': 'Miami', 'DATE': '2023-02-08'}"
"Burn scars in Oregon, noted on April 17, 2023.","{'LOCATION': 'Oregon', 'DATE': '2023-04-17'}"
"July 25, 2023: Identify crop types in Northern India.","{'LOCATION': 'Northern India', 'DATE': '2023-07-25'}"
"Flooding in central China on June 30, 2023.","{'LOCATION': 'Central China', 'DATE': '2023-06-30'}"
"Satellite images of burn scars in Montana from August 14, 2023.","{'LOCATION': 'Montana', 'DATE': '2023-08-14'}"
"December 5, 2023: Show crop types in Chile.","{'LOCATION': 'Chile', 'DATE': '2023-12-05'}"
"March 22, 2023, highlight flooding events in southern France.","{'LOCATION': 'Southern France', 'DATE': '2023-03-22'}"
"On November 10, 2023, find burn scars in Victoria, Australia.","{'LOCATION': 'Victoria, Australia', 'DATE': '2023-11-10'}"
"Crop types in Ukraine, recorded on September 3, 2023.","{'LOCATION': 'Ukraine', 'DATE': '2023-09-03'}"
"October 27, 2023: Flooding in Cairo, Egypt.","{'LOCATION': 'Cairo, Egypt', 'DATE': '2023-10-27'}"
"January 9, 2023: Display burn scars in the Scottish Highlands.","{'LOCATION': 'Scottish Highlands', 'DATE': '2023-01-09'}"
"Crop types in Kansas as of February 16, 2023.","{'LOCATION': 'Kansas', 'DATE': '2023-02-16'}"
"Flooding in Bangladesh on March 5, 2023.","{'LOCATION': 'Bangladesh', 'DATE': '2023-03-05'}"
"April 28, 2023, show burn scars in New Mexico.","{'LOCATION': 'New Mexico', 'DATE': '2023-04-28'}"
"May 15, 2023: Crop types in Brazil.","{'LOCATION': 'Brazil', 'DATE': '2023-05-15'}"
"June 11, 2023: Flooding in Houston, Texas.","{'LOCATION': 'Houston, Texas', 'DATE': '2023-06-11'}"
"September 7, 2023, display burn scars in Arizona","{'LOCATION': 'Arizona', 'DATE': '2023-09-07'}"
"Provide the latest imagery of flooding in Houston, Texas, from this past Tuesday.","{'LOCATION': 'Houston, Texas', 'DATE': '2024-05-28'}"
Display satellite images of burn scars in the Alps as of June 2024.,"{'LOCATION': 'Alps', 'DATE': '2024-06-04'}"
Can you show crop types in Vietnam observed last Friday?,"{'LOCATION': 'Vietnam', 'DATE': '2024-05-31'}"
Highlight recent flooding events in the UK from this past Spring.,"{'LOCATION': 'UK', 'DATE': '2024-03-01'}"
Show images of burn scars in Utah as of the first week of May 2024.,"{'LOCATION': 'Utah', 'DATE': '2024-05-03'}"
Find current crop types in Poland as observed today.,"{'LOCATION': 'Poland', 'DATE': '2024-06-04'}"
"Display the latest flooding events in Toronto, Canada, from last month.","{'LOCATION': 'Toronto, Canada', 'DATE': '2024-05-01'}"
Show satellite imagery of burn scars in Morocco from this year.,"{'LOCATION': 'Morocco', 'DATE': '2024-01-01'}"
Can you find crop types in Kansas as of the last 30 days?,"{'LOCATION': 'Kansas', 'DATE': '2024-05-04'}"
"Provide images of recent flooding in Cairo, Egypt, from the past week.","{'LOCATION': 'Cairo, Egypt', 'DATE': '2024-05-28'}"
Highlight burn scars in Tasmania as observed last Monday.,"{'LOCATION': 'Tasmania', 'DATE': '2024-05-27'}"
Display the most recent crop types in Germany from this Wednesday.,"{'LOCATION': 'Germany', 'DATE': '2024-05-29'}"
"Show recent flooding in Miami, Florida, as of this April.","{'LOCATION': 'Miami, Florida', 'DATE': '2024-04-01'}"
Find burn scars in the Kalahari Desert from the past three months.,"{'LOCATION': 'Kalahari Desert', 'DATE': '2024-03-01'}"
Can you show crop types in the Netherlands observed last weekend?,"{'LOCATION': 'Netherlands', 'DATE': '2024-06-01'}"
"Highlight flooding events in Lima, Peru, from this Spring.","{'LOCATION': 'Lima, Peru', 'DATE': '2024-03-01'}"
Display current burn scars in South Dakota as of today.,"{'LOCATION': 'South Dakota', 'DATE': '2024-06-04'}"
Show the most recent crop types in Turkey from last Tuesday.,"{'LOCATION': 'Turkey', 'DATE': '2024-05-28'}"
"Provide satellite images of flooding in Seoul, South Korea, from this month.","{'LOCATION': 'Seoul, South Korea', 'DATE': '2024-06-01'}"
Find burn scars in the Andes Mountains from last season.,"{'LOCATION': 'Andes Mountains', 'DATE': '2024-03-01'}"
Display the latest crop types in Israel observed this Friday.,"{'LOCATION': 'Israel', 'DATE': '2024-05-31'}"
"Show recent flooding events in Sao Paulo, Brazil, from two weeks ago.","{'LOCATION': 'Sao Paulo, Brazil', 'DATE': '2024-05-21'}"
Highlight burn scars in Montana from May 2024.,"{'LOCATION': 'Montana', 'DATE': '2024-05-01'}"
Can you show crop types in Bulgaria as of this morning?,"{'LOCATION': 'Bulgaria', 'DATE': '2024-06-04'}"
Display recent flooding in New York City from the last 48 hours.,"{'LOCATION': 'New York City', 'DATE': '2024-06-02'}"
Find the most recent burn scars in Fiji from the past year.,"{'LOCATION': 'Fiji', 'DATE': '2024-01-01'}"
Show the current crop types in Cuba as of this quarter.,"{'LOCATION': 'Cuba', 'DATE': '2024-04-01'}"
"Highlight flooding events in Paris, France, from last weekend.","{'LOCATION': 'Paris, France', 'DATE': '2024-06-01'}"
Display satellite imagery of burn scars in Tasmania from this summer.,"{'LOCATION': 'Tasmania', 'DATE': '2024-06-01'}"
Can you find crop types in Egypt observed last Thursday?,"{'LOCATION': 'Egypt', 'DATE': '2024-05-30'}"
"Show recent flooding in Beijing, China, from the first week of June 2024.","{'LOCATION': 'Beijing, China', 'DATE': '2024-06-01'}"
Display burn scars in Nova Scotia from last month.,"{'LOCATION': 'Nova Scotia', 'DATE': '2024-05-01'}"
Highlight crop types in Argentina seen this past weekend.,"{'LOCATION': 'Argentina', 'DATE': '2024-06-01'}"
Find recent flooding events in Dubai from today.,"{'LOCATION': 'Dubai', 'DATE': '2024-06-04'}"
Show the most recent burn scars in the Pyrenees from this week.,"{'LOCATION': 'Pyrenees', 'DATE': '2024-06-01'}"
Display crop types in South Korea observed yesterday.,"{'LOCATION': 'South Korea', 'DATE': '2024-06-03'}"
"Provide images of flooding in Lagos, Nigeria, from the last 72 hours.","{'LOCATION': 'Lagos, Nigeria', 'DATE': '2024-06-01'}"
Show burn scars in the Everglades from last season.,"{'LOCATION': 'Everglades', 'DATE': '2024-03-01'}"
Highlight crop types in Sweden as of the end of May 2024.,"{'LOCATION': 'Sweden', 'DATE': '2024-05-31'}"
"Find recent flooding in Venice, Italy, from last Saturday.","{'LOCATION': 'Venice, Italy', 'DATE': '2024-06-01'}"
Display the latest burn scars in the Sierra Nevada from this month.,"{'LOCATION': 'Sierra Nevada', 'DATE': '2024-06-01'}"
Show current crop types in Greece as observed this Monday.,"{'LOCATION': 'Greece', 'DATE': '2024-05-27'}"
"Provide satellite images of flooding in Kyoto, Japan, from this year.","{'LOCATION': 'Kyoto, Japan', 'DATE': '2024-01-01'}"
Find the most recent burn scars in the Rocky Mountains from last Tuesday.,"{'LOCATION': 'Rocky Mountains', 'DATE': '2024-05-28'}"
Display crop types in Morocco as of today.,"{'LOCATION': 'Morocco', 'DATE': '2024-06-04'}"
"Highlight recent flooding events in Bangkok, Thailand, from the past week.","{'LOCATION': 'Bangkok, Thailand', 'DATE': '2024-05-28'}"
Show burn scars in the Amazon from this Spring.,"{'LOCATION': 'Amazon', 'DATE': '2024-03-01'}"
