tokens,ner_tags
"['On', 'April', '4', ',', '2023', ',', 'display', 'burn', 'scars', 'in', 'California', '.']","['O', 'DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'Morocco', 'as', 'of', 'May', '28', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Flooding', 'in', 'São', 'Paulo', 'on', 'June', '19', ',', '2023', '.']","['O', 'O', 'LOCATION', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Satellite', 'imagery', 'of', 'burn', 'scars', 'in', 'Utah', 'from', 'September', '9', ',', '2023', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['November', '23', ',', '2023', ':', 'Crop', 'types', 'in', 'Vietnam', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['December', '3', ',', '2023', ',', 'highlight', 'flooding', 'events', 'in', 'Manila', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['January', '31', ',', '2023', ':', 'Burn', 'scars', 'in', 'Nevada', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'Poland', ',', 'noted', 'on', 'March', '24', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Flooding', 'in', 'Malaysia', 'on', 'July', '8', ',', '2023', '.']","['O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Satellite', 'images', 'of', 'burn', 'scars', 'from', 'Siberia', 'on', 'August', '17', ',', '2023', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Crop', 'types', 'in', 'Turkey', 'as', 'of', 'October', '6', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['November', '27', ',', '2023', ':', 'Flooding', 'in', 'London', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O']"
"['January', '16', ',', '2023', ',', 'show', 'burn', 'scars', 'in', 'Tasmania', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'Greece', 'observed', 'on', 'February', '25', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['On', 'March', '10', ',', '2023', ',', 'find', 'flooding', 'events', 'in', 'New', 'Orleans', '.']","['O', 'DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['April', '20', ',', '2023', ':', 'Burn', 'scars', 'in', 'Portugal', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'South', 'Africa', 'from', 'May', '22', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Flooding', 'in', 'the', 'Philippines', 'on', 'June', '28', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['July', '12', ',', '2023', ',', 'display', 'burn', 'scars', 'in', 'South', 'Dakota', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'Argentina', 'as', 'of', 'September', '15', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['October', '31', ',', '2023', ':', 'Flooding', 'in', 'Berlin', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Satellite', 'imagery', 'of', 'burn', 'scars', 'in', 'New', 'Zealand', 'from', 'December', '9', ',', '2023', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['January', '4', ',', '2023', ':', 'Crop', 'types', 'in', 'Japan', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O']"
"['March', '6', ',', '2023', ',', 'show', 'flooding', 'in', 'Alabama', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['April', '29', ',', '2023', ':', 'Burn', 'scars', 'in', 'the', 'Sahel', 'region', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'Belgium', 'noted', 'on', 'May', '24', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Flooding', 'in', 'South', 'Korea', 'on', 'June', '15', ',', '2023', '.']","['O', 'O', 'LOCATION', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Burn', 'scars', 'in', 'Alaska', 'from', 'July', '21', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Crop', 'types', 'in', 'Romania', 'as', 'of', 'August', '30', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['September', '20', ',', '2023', ':', 'Flooding', 'in', 'Lima', ',', 'Peru', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O']"
"['November', '5', ',', '2023', ',', 'display', 'burn', 'scars', 'in', 'the', 'Pyrenees', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['On', 'January', '15', ',', '2023', ',', 'display', 'the', 'flooding', 'events', 'in', 'Jakarta', '.']","['O', 'DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Show', 'images', 'of', 'burn', 'scars', 'in', 'the', 'Colorado', 'Rockies', 'from', 'March', '12', ',', '2023', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Crop', 'types', 'in', 'Sudan', 'as', 'observed', 'on', 'May', '20', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['February', '8', ',', '2023', ':', 'Provide', 'satellite', 'imagery', 'of', 'flooding', 'in', 'Miami', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['Burn', 'scars', 'in', 'Oregon', ',', 'noted', 'on', 'April', '17', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['July', '25', ',', '2023', ':', 'Identify', 'crop', 'types', 'in', 'Northern', 'India', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['Flooding', 'in', 'central', 'China', 'on', 'June', '30', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Satellite', 'images', 'of', 'burn', 'scars', 'in', 'Montana', 'from', 'August', '14', ',', '2023', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['December', '5', ',', '2023', ':', 'Show', 'crop', 'types', 'in', 'Chile', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['March', '22', ',', '2023', ',', 'highlight', 'flooding', 'events', 'in', 'southern', 'France', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['On', 'November', '10', ',', '2023', ',', 'find', 'burn', 'scars', 'in', 'Victoria', ',', 'Australia', '.']","['O', 'DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'Ukraine', ',', 'recorded', 'on', 'September', '3', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['October', '27', ',', '2023', ':', 'Flooding', 'in', 'Cairo', ',', 'Egypt', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O']"
"['January', '9', ',', '2023', ':', 'Display', 'burn', 'scars', 'in', 'the', 'Scottish', 'Highlands', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['Crop', 'types', 'in', 'Kansas', 'as', 'of', 'February', '16', ',', '2023', '.']","['O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['Flooding', 'in', 'Bangladesh', 'on', 'March', '5', ',', '2023', '.']","['O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O', 'DATE', 'O']"
"['April', '28', ',', '2023', ',', 'show', 'burn', 'scars', 'in', 'New', 'Mexico', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O']"
"['May', '15', ',', '2023', ':', 'Crop', 'types', 'in', 'Brazil', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['June', '11', ',', '2023', ':', 'Flooding', 'in', 'Houston', ',', 'Texas', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O']"
"['September', '7', ',', '2023', ',', 'display', 'burn', 'scars', 'in', 'Arizona', '.']","['DATE', 'DATE', 'O', 'DATE', 'O', 'O', 'O', 'O', 'LOCATION', 'O']"
"['Provide', 'the', 'latest', 'imagery', 'of', 'flooding', 'in', 'Houston', ',', 'Texas', ',', 'from', 'this', 'past', 'Tuesday', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O', 'O', 'O', 'O', 'DATE', 'O']"
"['Display', 'satellite', 'images', 'of', 'burn', 'scars', 'in', 'the', 'Alps', 'as', 'of', 'June', '2024', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'DATE', 'O']"
"['Can', 'you', 'show', 'crop', 'types', 'in', 'Vietnam', 'observed', 'last', 'Friday', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O']"
"['Highlight', 'recent', 'flooding', 'events', 'in', 'the', 'UK', 'from', 'this', 'past', 'Spring', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'O']"
"['Show', 'images', 'of', 'burn', 'scars', 'in', 'Utah', 'as', 'of', 'the', 'first', 'week', 'of', 'May', '2024', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'O']"
"['Find', 'current', 'crop', 'types', 'in', 'Poland', 'as', 'observed', 'today', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'O']"
"['Display', 'the', 'latest', 'flooding', 'events', 'in', 'Toronto', ',', 'Canada', ',', 'from', 'last', 'month', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'DATE', 'O']"
"['Show', 'satellite', 'imagery', 'of', 'burn', 'scars', 'in', 'Morocco', 'from', 'this', 'year', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'O']"
"['Can', 'you', 'find', 'crop', 'types', 'in', 'Kansas', 'as', 'of', 'the', 'last', '30', 'days', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'O']"
"['Provide', 'images', 'of', 'recent', 'flooding', 'in', 'Cairo', ',', 'Egypt', ',', 'from', 'the', 'past', 'week', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'O']"
"['Highlight', 'burn', 'scars', 'in', 'Tasmania', 'as', 'observed', 'last', 'Monday', '.']","['O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'O']"
"['Display', 'the', 'most', 'recent', 'crop', 'types', 'in', 'Germany', 'from', 'this', 'Wednesday', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'O']"
"['Show', 'recent', 'flooding', 'in', 'Miami', ',', 'Florida', ',', 'as', 'of', 'this', 'April', '.']","['O', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O', 'O', 'O', 'O', 'DATE', 'DATE', 'O']"
"['Find', 'burn', 'scars', 'in', 'the', 'Kalahari', 'Desert', 'from', 'the', 'past', 'three', 'months', '.']","['O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O', 'O', 'O', 'DATE', 'DATE', 'O']"
"['Can', 'you', 'show', 'crop', 'types', 'in', 'the', 'Netherlands', 'observed', 'last', 'weekend', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O']"
"['Highlight', 'flooding', 'events', 'in', 'Lima', ',', 'Peru', ',', 'from', 'this', 'Spring', '.']","['O', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'O']"
"['Display', 'current', 'burn', 'scars', 'in', 'South', 'Dakota', 'as', 'of', 'today', '.']","['O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O', 'O', 'DATE', 'O']"
"['Show', 'the', 'most', 'recent', 'crop', 'types', 'in', 'Turkey', 'from', 'last', 'Tuesday', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'O']"
"['Provide', 'satellite', 'images', 'of', 'flooding', 'in', 'Seoul', ',', 'South', 'Korea', ',', 'from', 'this', 'month', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'LOCATION', 'LOCATION', 'O', 'O', 'O', 'DATE', 'O']"
"['Find', 'burn', 'scars', 'in', 'the', 'Andes', 'Mountains', 'from', 'last', 'season', '.']","['O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O', 'O', 'DATE', 'O']"
"['Display', 'the', 'latest', 'crop', 'types', 'in', 'Israel', 'observed', 'this', 'Friday', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'LOCATION', 'O', 'O', 'DATE', 'O']"
"['Show', 'recent', 'flooding', 'events', 'in', 'Sao', 'Paulo', ',', 'Brazil', ',', 'from', 'two', 'weeks', 'ago', '.']","['O', 'O', 'O', 'O', 'LOCATION', 'LOCATION', 'O', 'LOCATION', 'O', 'O', 'O', 'DATE', 'DATE', 'O']"
"['Highlight', 'burn', 'scars', 'in', 'Montana', 'from', 'May', '2024', '.']","['O', 'O', 'O', 'O', 'LOCATION', 'O', 'DATE', 'DATE', 'O']"
